	Foundational Skills	RF.K.1	Demonstrate understanding of the organization and basic features of print.
	Foundational Skills	RF.K.1.A	Follow words from left to right, top to bottom, and page by page.
	Foundational Skills	RF.K.1.B	Recognize that spoken words are represented in written language by specific sequences of letters.
	Foundational Skills	RF.K.1.C	Understand that words are separated by spaces in print.
	Foundational Skills	RF.K.1.D	Recognize and name all upper- and lowercase letters of the alphabet.
	Foundational Skills	RF.K.2	Demonstrate understanding of spoken words, syllables, and sounds (phonemes).
	Foundational Skills	RF.K.2.A	Recognize and produce rhyming words.
	Foundational Skills	RF.K.2.B	Count, pronounce, blend, and segment syllables in spoken words.
	Foundational Skills	RF.K.2.C	Blend and segment onsets and rimes of single-syllable spoken words.
	Foundational Skills	RF.K.2.D	Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words.
	Foundational Skills	RF.K.2.E	Add or substitute individual sounds (phonemes) in simple, one-syllable words to make new words.
	Foundational Skills	RF.K.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.K.3.A	Demonstrate basic knowledge of one-to-one letter-sound correspondences by producing the primary sound or many of the most frequent sounds for each consonant.
	Foundational Skills	RF.K.3.B	Associate the long and short sounds with common spellings (graphemes) for the five major vowels.
	Foundational Skills	RF.K.3.C	Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).
	Foundational Skills	RF.K.3.D	Distinguish between similarly spelled words by identifying the sounds of the letters that differ.
	Foundational Skills	RF.K.4	Read emergent-reader texts with purpose and understanding.
	Foundational Skills	RF.1.1	Demonstrate understanding of the organization and basic features of print.
	Foundational Skills	RF.1.1.A	Recognize the distinguishing features of a sentence (e.g., first word, capitalization, ending punctuation).
	Foundational Skills	RF.1.2	Demonstrate understanding of spoken words, syllables, and sounds (phonemes).
	Foundational Skills	RF.1.2.A	Distinguish long from short vowel sounds in spoken single-syllable words.
	Foundational Skills	RF.1.2.B	Orally produce single-syllable words by blending sounds (phonemes), including consonant blends.
	Foundational Skills	RF.1.2.C	Isolate and pronounce initial, medial vowel, and final sounds (phonemes) in spoken single-syllable words.
	Foundational Skills	RF.1.2.D	Segment spoken single-syllable words into their complete sequence of individual sounds (phonemes).
	Foundational Skills	RF.1.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.1.3.A	Know the spelling-sound correspondences for common consonant digraphs.
	Foundational Skills	RF.1.3.B	Decode regularly spelled one-syllable words.
	Foundational Skills	RF.1.3.C	Know final -e and common vowel team conventions for representing long vowel sounds.
	Foundational Skills	RF.1.3.D	Use knowledge that every syllable must have a vowel sound to determine the number of syllables in a printed wor
	Foundational Skills	RF.1.3.E	Decode two-syllable words following basic patterns by breaking the words into syllables.
	Foundational Skills	RF.1.3.F	Read words with inflectional endings.
	Foundational Skills	RF.1.3.G	Recognize and read grade-appropriate irregularly spelled words.
	Foundational Skills	RF.1.4	Read with sufficient accuracy and fluency to support comprehension.
	Foundational Skills	RF.1.4.A	Read grade-level text with purpose and understanding.
	Foundational Skills	RF.1.4.B	Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.
	Foundational Skills	RF.1.4.C	Use context to confirm or self-correct word recognition and understanding, rereading as necessary.
	Foundational Skills	RF.2.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.2.3.A	Distinguish long and short vowels when reading regularly spelled one-syllable words.
	Foundational Skills	RF.2.3.B	Know spelling-sound correspondences for additional common vowel teams.
	Foundational Skills	RF.2.3.C	Decode regularly spelled two-syllable words with long vowels.
	Foundational Skills	RF.2.3.D	Decode words with common prefixes and suffixes.
	Foundational Skills	RF.2.3.E	Identify words with inconsistent but common spelling-sound correspondences.
	Foundational Skills	RF.2.3.F	Recognize and read grade-appropriate irregularly spelled words.
	Foundational Skills	RF.2.4	Read with sufficient accuracy and fluency to support comprehension.
	Foundational Skills	RF.2.4.A	Read grade-level text with purpose and understanding.
	Foundational Skills	RF.2.4.B	Read grade-level text orally with accuracy, appropriate rate, and expression on successive readings.
	Foundational Skills	RF.2.4.C	Use context to confirm or self-correct word recognition and understanding, rereading as necessary.
	Foundational Skills	RF.3.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.3.3.A	Identify and know the meaning of the most common prefixes and derivational suffixes.
	Foundational Skills	RF.3.3.B	Decode words with common Latin suffixes.
	Foundational Skills	RF.3.3.C	Decode multisyllable words.
	Foundational Skills	RF.3.3.D	Read grade-appropriate irregularly spelled words.
	Foundational Skills	RF.3.4	Read with sufficient accuracy and fluency to support comprehension.
	Foundational Skills	RF.3.4.A	Read grade-level text with purpose and understanding.
	Foundational Skills	RF.3.4.B	Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings
	Foundational Skills	RF.3.4.C	Use context to confirm or self-correct word recognition and understanding, rereading as necessary.
	Foundational Skills	RF.4.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.4.3.A	Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.
	Foundational Skills	RF.4.4	Read with sufficient accuracy and fluency to support comprehension.
	Foundational Skills	RF.4.4.A	Read grade-level text with purpose and understanding.
	Foundational Skills	RF.4.4.B	Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.
	Foundational Skills	RF.4.4.C	Use context to confirm or self-correct word recognition and understanding, rereading as necessary.
	Foundational Skills	RF.5.3	Know and apply grade-level phonics and word analysis skills in decoding words.
	Foundational Skills	RF.5.3.A	Use combined knowledge of all letter-sound correspondences, syllabication patterns, and morphology (e.g., roots and affixes) to read accurately unfamiliar multisyllabic words in context and out of context.
	Foundational Skills	RF.5.4	Read with sufficient accuracy and fluency to support comprehension.
	Foundational Skills	RF.5.4.A	Read grade-level text with purpose and understanding.
	Foundational Skills	RF.5.4.B	Read grade-level prose and poetry orally with accuracy, appropriate rate, and expression on successive readings.
	Foundational Skills	RF.5.4.C	Use context to confirm or self-correct word recognition and understanding, rereading as necessary.
	Informational Text	RI.K.1	With prompting and support, ask and answer questions about key details in a text.
	Informational Text	RI.K.2	With prompting and support, identify the main topic and retell key details of a text.
	Informational Text	RI.K.3	With prompting and support, describe the connection between two individuals, events, ideas, or pieces of information in a text.
	Informational Text	RI.K.4	With prompting and support, ask and answer questions about unknown words in a text.
	Informational Text	RI.K.5	Identify the front cover, back cover, and title page of a book.
	Informational Text	RI.K.6	Name the author and illustrator of a text and define the role of each in presenting the ideas or information in a text.
	Informational Text	RI.K.7	With prompting and support, describe the relationship between illustrations and the text in which they appear.
	Informational Text	RI.K.8	With prompting and support, identify the reasons an author gives to support points in a text.
	Informational Text	RI.K.9	With prompting and support, identify basic similarities in and differences between two texts on the same topic.
	Informational Text	RI.K.10	Actively engage in group reading activities with purpose and understanding.
	Informational Text	RI.1.1	Ask and answer questions about key details in a text.
	Informational Text	RI.1.2	Identify the main topic and retell key details of a text.
	Informational Text	RI.1.3	Describe the connection between two individuals, events, ideas, or pieces of information in a text.
	Informational Text	RI.1.4	Ask and answer questions to help determine or clarify the meaning of words and phrases in a text.
	Informational Text	RI.1.5	Know and use various text features to locate key facts or information in a text.
	Informational Text	RI.1.6	Distinguish between information provided by pictures or other illustrations and information provided by the words in a text.
	Informational Text	RI.1.7	Use the illustrations and details in a text to describe its key ideas.
	Informational Text	RI.1.8	Identify the reasons an author gives to support points in a text.
	Informational Text	RI.1.9	Identify basic similarities in and differences between two texts on the same topic.
	Informational Text	RI.1.10	With prompting and support, read informational texts appropriately complex for grade
	Informational Text	RI.2.1	Ask and answer such questions as who, what, where, when, why, and how to demonstrate understanding of key details in a text.
